,latitude,longitude,price,water,wc,grey_water
493,42.43908,1.13397,Free,yes,no,yes
494,55.32483,8.75769,Free,yes,yes,yes
495,42.20253,2.19365,Free,yes,no,yes
496,45.94459,-0.95563,Free,yes,yes,yes
497,43.3984,10.42847,Paying,yes,no,yes
498,49.50721,9.97036,Free,yes,yes,unknown
499,47.95573,7.29559,Free,yes,yes,yes
500,45.08894,13.64519,Paying,yes,yes,unknown
501,42.02585,2.46492,Paying,yes,yes,yes
502,47.92057,6.66186,Free,yes,no,unknown
503,42.55933,-2.75989,Free,yes,no,yes
504,43.35474,-8.25381,Free,yes,no,yes
505,42.45764,2.0377,Free,yes,yes,unknown
506,48.18293,-3.01287,Free,yes,yes,yes
507,46.73438,2.48668,Free,no,yes,yes
508,45.60424,-0.99979,Paying,yes,no,yes
509,48.23244,7.37232,Free,yes,no,yes
510,45.94528,-0.53689,Paying,yes,yes,yes
511,43.14181,0.92877,Paying,yes,yes,yes
512,48.04526,6.58173,Free,yes,no,unknown
513,45.14795,-0.6049,Free,yes,no,unknown
514,43.73436,-1.07854,Free,yes,no,yes
515,44.9639,-0.40186,Free,yes,no,yes
516,45.38791,-0.68986,Free,yes,no,unknown
517,49.65087,0.16317,Free,yes,yes,no
518,46.84505,4.6331,Free,yes,yes,unknown
519,43.26457,6.67275,Paying,yes,yes,yes
520,42.85337,-2.38521,Free,yes,no,yes
521,41.90606,0.33159,Free,yes,yes,yes
522,45.46794,12.27851,Paying,yes,yes,unknown
523,43.38525,-1.66291,Paying,yes,no,unknown
524,41.88429,2.50802,Free,yes,no,yes
525,42.13664,1.59284,Paying,yes,yes,yes
526,43.25778,-7.01861,Free,yes,no,yes
527,42.89755,-8.53028,Free,no,no,unknown
528,42.40952,-8.86183,Paying,yes,yes,unknown
529,44.89558,1.21243,Paying,yes,no,unknown
530,43.40312,-0.38763,Free,yes,no,yes
531,44.21627,2.31694,Free,yes,yes,yes
532,47.81525,8.18096,Paying,yes,no,yes
533,43.51267,16.1796,Paying,yes,yes,yes
534,39.84806,-0.48167,Free,yes,no,yes
535,40.94103,-4.10818,Free,yes,no,yes
536,43.6924,-1.42621,Paying,yes,yes,yes
537,46.26622,4.09068,Free,yes,yes,unknown
538,43.36629,3.6163,Paying,yes,yes,yes
539,47.00408,5.14326,Free,yes,no,unknown
540,37.3662,-5.9939,Free,yes,no,yes
541,56.06374,14.5712,Free,yes,yes,yes
542,43.37371,-2.98962,Free,yes,no,unknown
543,42.49142,-1.21393,Paying,yes,yes,yes
544,42.95579,-0.07255,Free,yes,no,yes
545,44.47074,1.68069,Paying,yes,yes,unknown
546,46.2274,-1.54642,Paying,yes,no,yes
547,44.86838,1.04382,Free,yes,no,unknown
548,45.01234,1.08971,Paying,yes,no,unknown
549,43.7592,-0.57572,Free,yes,no,yes
550,45.14921,-0.82118,Free,yes,yes,unknown
551,44.30765,-1.18127,Paying,yes,yes,unknown
552,48.40216,-0.08907,Free,yes,no,yes
553,50.1825,1.62888,Paying,yes,no,unknown
554,53.11381,8.83575,Paying,yes,yes,yes
555,56.28647,13.33925,Paying,yes,unknown,yes
556,43.76075,6.15109,Paying,yes,yes,yes
557,50.31584,9.46043,Free,yes,yes,yes
558,39.95357,-0.33495,Paying,yes,no,yes
559,47.77111,2.38452,Free,yes,no,yes
560,46.31086,7.63475,Free,yes,no,yes
561,42.08313,3.05739,Paying,yes,no,yes
