WKT,nombre,descripción,,,,,,
POINT (-1.04945 43.71435 0.0),Area ac Dax  Gratuito,Agua:si,Wc:no,Vaciado:si,Elect:?,,,
POINT (-8.06401 38.7005 0.0),Area AC de Arraiolos   (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-0.11256 42.89361 0.0),Area Ac de Cauterets  Gratuito:no(10eur/dia)Agua:si,Wc:si,Vaciado:si,Electr:si,,,,
POINT (-8.49521 40.11313 0.0),Area AC de Condeixa-A-Nova  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-2.01442 43.30792 0.0),Area AC de Donosti  Gratuito: no, Agua: si, Wc: no,,,,,
POINT (-7.25775 43.56322 0.0),Area ac de Foz  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:?),,,
POINT (5.60792 48.24051 0.0),Area Ac de Goncourt  Gratuita, Agua: si (2 eur), Wc: no,,,,,
POINT (-2.02963 48.45451 0.0),Area Ac de Lanvallay  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:?),,,
POINT (-0.4224 42.98787 0.0),Area Ac de Laruns  6 euros: no, Agua: si (2 eur), Wc: si,,,,,
POINT (-7.51994 37.16536 0.0),Area Ac de Manta Rota  (CIERRA JULIO AGOSTO 5eur/noche,Agua:si,Wc:no,Vaciado:si,Elec:si(2.5eur)),,,
POINT (13.43666 43.52395 0.0),Area Ac de Offagna   (Gratuito,Agua:si,vaciado:si,WC:no, electric.:si),,,
POINT (2.92651 49.92636 0.0),Area AC de Peronne  (Gratuito,Agua:si,vaciado:si,Electr: si 2eur,Wc:no),,,
